# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
107.8000,0.0444,0.0400,76.0485,106.7750
108.0000,0.0443,0.0400,76.0469,106.7729
108.2000,0.0443,0.0399,76.0454,106.7707
108.4000,0.0443,0.0399,76.0439,106.7686
108.6000,0.0442,0.0399,76.0423,106.7664
108.8000,0.0442,0.0398,76.0408,106.7643
109.0000,0.0442,0.0398,76.0393,106.7621
109.2000,0.0441,0.0398,76.0377,106.7600
109.4000,0.0441,0.0398,76.0362,106.7578
109.6000,0.0441,0.0397,76.0347,106.7557
109.8000,0.0440,0.0397,76.0332,106.7535
110.0000,0.0440,0.0397,76.0316,106.7514
