# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
23.8000,0.2193,0.1796,75.1476,108.4595
24.0000,0.2168,0.1755,75.9208,108.4572
24.2000,0.2135,0.1710,76.6939,108.4549
24.4000,0.2092,0.1661,76.6923,108.4526
24.6000,0.2044,0.1609,76.6906,108.4503
24.8000,0.1990,0.1558,76.6890,108.4480
25.0000,0.1933,0.1506,76.6873,108.4457
25.2000,0.1873,0.1455,76.6857,108.4434
25.4000,0.1813,0.1406,76.6840,107.6665
25.6000,0.1753,0.1360,76.6824,107.6642
25.8000,0.1694,0.1316,76.6807,107.6619
26.0000,0.1636,0.1274,76.6791,107.6597
26.2000,0.1581,0.1235,76.6775,107.6574
26.4000,0.1528,0.1199,76.6758,107.6551
26.6000,0.1478,0.1166,76.6742,107.6529
26.8000,0.1430,0.1135,76.6726,107.6506
27.0000,0.1386,0.1107,76.6709,107.6484
27.2000,0.1344,0.1081,76.6693,107.6462
27.4000,0.1306,0.1057,76.6677,107.6440
27.6000,0.1270,0.1035,76.6661,107.6417
27.8000,0.1237,0.1015,76.6645,107.6395
28.0000,0.1207,0.0997,76.6629,107.6373
28.2000,0.1178,0.0980,76.6613,107.6351
28.4000,0.1152,0.0964,76.6597,107.6329
28.6000,0.1128,0.0949,76.6582,107.6307
28.8000,0.1106,0.0936,76.6566,107.6285
29.0000,0.1086,0.0924,76.6550,107.6263
29.2000,0.1067,0.0912,76.6534,107.6241
29.4000,0.1049,0.0901,76.6518,107.6219
29.6000,0.1033,0.0891,76.6503,107.6197
29.8000,0.1018,0.0881,76.6487,107.6175
30.0000,0.1004,0.0872,76.6471,107.6154
30.2000,0.0992,0.0864,76.6456,107.6132
30.4000,0.0979,0.0856,76.6440,107.6110
30.6000,0.0968,0.0848,76.6425,107.6088
30.8000,0.0958,0.0841,76.6409,107.6066
31.0000,0.0948,0.0834,76.6393,107.6044
31.2000,0.0938,0.0827,76.6378,107.6023
